Date,Open,High,Low,Close,Volume,Dividend,SMA 200,Enter_200
2005-02-17,121.23,121.33,120.22,120.23,58124000,0.0,114.29450000000006,1
2005-02-18,120.24,120.48,119.9,120.39,47723300,0.0,114.33255000000007,1
2005-02-22,119.9,120.47,118.58,118.6,80697600,0.0,114.36650000000004,1
2005-02-23,118.93,119.57,118.62,119.45,68292600,0.0,114.41395000000006,1
2005-02-24,119.24,120.32,118.98,120.24,68563600,0.0,114.47100000000006,1
2005-02-25,120.27,121.67,120.18,121.43,60899900,0.0,114.52940000000007,1
2005-02-28,121.15,121.3,120.04,120.63,69381300,0.0,114.58030000000007,1
2005-03-01,120.82,121.52,120.78,121.23,47294400,0.0,114.63650000000005,1
2005-03-02,120.76,121.93,120.65,121.17,64226500,0.0,114.69215000000004,1
2005-03-03,121.66,121.9,120.7,121.22,61230800,0.0,114.75275000000005,1
2005-03-04,122.05,122.83,121.79,122.73,56168500,0.0,114.81815000000005,1
2005-03-07,122.66,123.25,122.4,122.79,43442400,0.0,114.88575000000004,1
2005-03-08,122.67,123.0,122.11,122.33,44362000,0.0,114.94930000000005,1
2005-03-09,121.97,122.29,120.96,120.97,73263600,0.0,115.00510000000006,1
2005-03-10,121.2,121.5,120.4,121.24,65149000,0.0,115.05995000000006,1
2005-03-11,121.31,121.72,120.16,120.39,57976500,0.0,115.10265000000007,1
2005-03-14,120.61,121.16,120.28,121.14,36336400,0.0,115.14715000000005,1
2005-03-15,121.42,121.46,120.08,120.14,62438500,0.0,115.18350000000005,1
2005-03-16,119.7,120.16,118.9,119.12,74874200,0.0,115.21480000000005,1
2005-03-17,119.31,119.74,118.98,119.36,62584200,0.0,115.24805000000006,1
2005-03-18,119.11,119.53,118.15,118.54,60232000,0.467,115.27510000000005,1
2005-03-21,118.71,118.78,117.76,118.1,61244300,0.0,115.30515000000005,1
2005-03-22,118.37,118.93,116.9,116.9,92472400,0.0,115.32475000000005,1
2005-03-23,116.95,117.72,116.75,117.0,70817300,0.0,115.33625000000005,1
2005-03-24,117.46,117.99,117.06,117.14,51932500,0.0,115.34765000000004,1
2005-03-28,117.42,117.94,117.31,117.31,46765500,0.0,115.36525000000005,1
2005-03-29,117.14,117.9,116.25,116.53,71160300,0.0,115.37615000000005,1
2005-03-30,116.78,118.2,116.77,118.18,62002100,0.0,115.40095000000005,1
2005-03-31,118.19,118.46,117.87,117.96,64575400,0.0,115.42065000000004,1
2005-04-01,118.63,118.99,116.91,117.43,95255300,0.0,115.43780000000004,1
2005-04-04,117.36,117.86,116.74,117.63,71581200,0.0,115.45680000000004,1
2005-04-05,117.78,118.38,117.67,118.19,46853900,0.0,115.47960000000003,1
2005-04-06,118.45,118.95,118.18,118.6,53268200,0.0,115.50660000000002,1
2005-04-07,118.41,119.26,118.32,119.24,46734600,0.0,115.53395000000002,1
2005-04-08,119.17,119.21,118.0,118.0,63772900,0.0,115.55020000000002,1
2005-04-11,118.29,118.42,117.83,118.09,44945000,0.0,115.56870000000002,1
2005-04-12,117.89,119.06,117.07,118.7,86144800,0.0,115.59300000000003,1
2005-04-13,118.56,118.8,117.13,117.3,65949000,0.0,115.61225000000002,1
2005-04-14,117.4,117.5,115.77,115.77,96119800,0.0,115.62150000000003,1
